# object name: Structure
-2.879793 -0.523599 0.856383
-2.617994 -0.523599 0.722772
-2.356194 -0.523599 0.632353
-2.094395 -0.523599 0.543269
-1.832596 -0.523599 0.460784
-1.570796 -0.523599 0.400000
-1.308997 -0.523599 0.460784
-1.047198 -0.523599 0.543269
-0.785398 -0.523599 0.632353
-0.523599 -0.523599 0.722772
-0.261799 -0.523599 0.856383
0.000000 -0.523599 1.000000
0.261799 -0.523599 0.856383
0.523599 -0.523599 0.722772
0.785398 -0.523599 0.632353
1.047198 -0.523599 0.543269
1.308997 -0.523599 0.460784
1.570796 -0.523599 0.400000
1.832596 -0.523599 0.460784
2.094395 -0.523599 0.543269
2.356194 -0.523599 0.632353
2.617994 -0.523599 0.722772
2.879793 -0.523599 0.856383
3.141593 -0.523599 1.000000

-3.141593 -0.261799 1.000000
-2.879793 -0.261799 0.807018
-2.617994 -0.261799 0.671875
-2.356194 -0.261799 0.557292
-2.094395 -0.261799 0.451282
-1.832596 -0.261799 0.350515
-1.570796 -0.261799 0.230769
-1.308997 -0.261799 0.350515
-1.047198 -0.261799 0.451282
-0.785398 -0.261799 0.557292
-0.523599 -0.261799 0.671875
-0.261799 -0.261799 0.807018
0.000000 -0.261799 1.000000
0.261799 -0.261799 0.807018
0.523599 -0.261799 0.671875
0.785398 -0.261799 0.557292
1.047198 -0.261799 0.451282
1.308997 -0.261799 0.350515
1.570796 -0.261799 0.230769
1.832596 -0.261799 0.350515
2.094395 -0.261799 0.451282
2.356194 -0.261799 0.557292
2.617994 -0.261799 0.671875
2.879793 -0.261799 0.807018
3.141593 -0.261799 1.000000

-3.141593 0.000000 1.000000
-2.879793 0.000000 0.769231
-2.617994 0.000000 0.600000
-2.356194 0.000000 0.470588
-2.094395 0.000000 0.352941
-1.832596 0.000000 0.200000
-1.570796 0.000000 0.000000
-1.308997 0.000000 0.200000
-1.047198 0.000000 0.352941
-0.785398 0.000000 0.470588
-0.523599 0.000000 0.600000
-0.261799 0.000000 0.769231
0.000000 0.000000 1.000000
0.261799 0.000000 0.769231
0.523599 0.000000 0.600000
0.785398 0.000000 0.470588
1.047198 0.000000 0.352941
1.308997 0.000000 0.200000
1.570796 0.000000 0.000000
1.832596 0.000000 0.200000
2.094395 0.000000 0.352941
2.356194 0.000000 0.470588
2.617994 0.000000 0.600000
2.879793 0.000000 0.769231
3.141593 0.000000 1.000000

-3.141593 0.261799 0.785714
-2.879793 0.261799 0.643275
-2.617994 0.261799 0.510417
-2.356194 0.261799 0.395833
-2.094395 0.261799 0.292308
-1.832596 0.261799 0.170103
-1.570796 0.261799 0.000000
-1.308997 0.261799 0.170103
-1.047198 0.261799 0.292308
-0.785398 0.261799 0.395833
-0.523599 0.261799 0.510417
-0.261799 0.261799 0.643275
0.000000 0.261799 0.785714
0.261799 0.261799 0.643275
0.523599 0.261799 0.510417
0.785398 0.261799 0.395833
1.047198 0.261799 0.292308
1.308997 0.261799 0.170103
1.570796 0.261799 0.000000
1.832596 0.261799 0.170103
2.094395 0.261799 0.292308
2.356194 0.261799 0.395833
2.617994 0.261799 0.510417
2.879793 0.261799 0.643275
3.141593 0.261799 0.785714

-3.141593 0.523599 0.625000
-2.879793 0.523599 0.521277
-2.617994 0.523599 0.435644
-2.356194 0.523599 0.343137
-2.094395 0.523599 0.245192
-1.832596 0.523599 0.142157
-1.570796 0.523599 0.000000
-1.308997 0.523599 0.142157
-1.047198 0.523599 0.245192
-0.785398 0.523599 0.343137
-0.523599 0.523599 0.435644
-0.261799 0.523599 0.521277
0.000000 0.523599 0.625000
0.261799 0.523599 0.521277
0.523599 0.523599 0.435644
0.785398 0.523599 0.343137
1.047198 0.523599 0.245192
1.308997 0.523599 0.142157
1.570796 0.523599 0.000000
1.832596 0.523599 0.142157
2.094395 0.523599 0.245192
2.356194 0.523599 0.343137
2.617994 0.523599 0.435644
2.879793 0.523599 0.521277
3.141593 0.523599 0.625000

-3.141593 0.785398 0.470588
-2.879793 0.785398 0.427807
-2.617994 0.785398 0.356436
-2.356194 0.785398 0.280788
-2.094395 0.785398 0.221198
-1.832596 0.785398 0.117073
-1.570796 0.785398 0.000000
-1.308997 0.785398 0.117073
-1.047198 0.785398 0.221198
-0.785398 0.785398 0.280788
-0.523599 0.785398 0.356436
-0.261799 0.785398 0.427807
0.000000 0.785398 0.470588
0.261799 0.785398 0.427807
0.523599 0.785398 0.356436
0.785398 0.785398 0.280788
1.047198 0.785398 0.221198
1.308997 0.785398 0.117073
1.570796 0.785398 0.000000
1.832596 0.785398 0.117073
2.094395 0.785398 0.221198
2.356194 0.785398 0.280788
2.617994 0.785398 0.356436
2.879793 0.785398 0.427807
3.141593 0.785398 0.470588

-3.141593 1.047198 0.352941
-2.879793 1.047198 0.338889
-2.617994 1.047198 0.268421
-2.356194 1.047198 0.212766
-2.094395 1.047198 0.157895
-1.832596 1.047198 0.085106
-1.570796 1.047198 0.000000
-1.308997 1.047198 0.085106
-1.047198 1.047198 0.157895
-0.785398 1.047198 0.212766
-0.523599 1.047198 0.268421
-0.261799 1.047198 0.338889
0.000000 1.047198 0.352941
0.261799 1.047198 0.338889
0.523599 1.047198 0.268421
0.785398 1.047198 0.212766
1.047198 1.047198 0.157895
1.308997 1.047198 0.085106
1.570796 1.047198 0.000000
1.832596 1.047198 0.085106
2.094395 1.047198 0.157895
2.356194 1.047198 0.212766
2.617994 1.047198 0.268421
2.879793 1.047198 0.338889
3.141593 1.047198 0.352941

-3.141593 1.308997 0.200000
-2.879793 1.308997 0.188679
-2.617994 1.308997 0.165644
-2.356194 1.308997 0.129630
