# object name: SOLAR_PANEL+Z
-3.141593 -0.523599 1.000000
-2.879793 -0.523599 1.000000
-2.617994 -0.523599 1.000000
-2.356194 -0.523599 1.000000
-2.094395 -0.523599 1.000000
-1.832596 -0.523599 1.000000
-1.570796 -0.523599 1.000000
-1.308997 -0.523599 1.000000
-1.047198 -0.523599 1.000000
-0.785398 -0.523599 1.000000
-0.523599 -0.523599 1.000000
-0.261799 -0.523599 1.000000
0.000000 -0.523599 1.000000
0.261799 -0.523599 0.420000
0.523599 -0.523599 0.282051
0.785398 -0.523599 0.208333
1.047198 -0.523599 0.155172
1.308997 -0.523599 0.088710
1.570796 -0.523599 0.000000
1.832596 -0.523599 0.088710
2.094395 -0.523599 0.155172
2.356194 -0.523599 0.208333
2.617994 -0.523599 0.282051
2.879793 -0.523599 0.420000
3.141593 -0.523599 1.000000

-3.141593 -0.261799 1.000000
-2.879793 -0.261799 1.000000
-2.617994 -0.261799 1.000000
-2.356194 -0.261799 1.000000
-2.094395 -0.261799 1.000000
-1.832596 -0.261799 1.000000
-1.570796 -0.261799 1.000000
-1.308997 -0.261799 1.000000
-1.047198 -0.261799 1.000000
-0.785398 -0.261799 1.000000
-0.523599 -0.261799 1.000000
-0.261799 -0.261799 1.000000
0.000000 -0.261799 1.000000
0.261799 -0.261799 0.265306
0.523599 -0.261799 0.228916
0.785398 -0.261799 0.166667
1.047198 -0.261799 0.134921
1.308997 -0.261799 0.000000
1.570796 -0.261799 0.000000
1.832596 -0.261799 0.000000
2.094395 -0.261799 0.134921
2.356194 -0.261799 0.166667
2.617994 -0.261799 0.228916
2.879793 -0.261799 0.265306
3.141593 -0.261799 1.000000

-3.141593 0.000000 1.000000
-2.879793 0.000000 1.000000
-2.617994 0.000000 1.000000
-2.356194 0.000000 1.000000
-2.094395 0.000000 1.000000
-1.832596 0.000000 1.000000
-1.570796 0.000000 1.000000
-1.308997 0.000000 1.000000
-1.047198 0.000000 1.000000
-0.785398 0.000000 1.000000
-0.523599 0.000000 1.000000
-0.261799 0.000000 1.000000
0.000000 0.000000 1.000000
0.261799 0.000000 0.244898
0.523599 0.000000 0.139535
0.785398 0.000000 0.000000
1.047198 0.000000 0.000000
1.308997 0.000000 0.000000
1.570796 0.000000 0.000000
1.832596 0.000000 0.000000
2.094395 0.000000 0.000000
2.356194 0.000000 0.000000
2.617994 0.000000 0.139535
2.879793 0.000000 0.244898
3.141593 0.000000 1.000000

-3.141593 0.261799 0.785714
-2.879793 0.261799 0.938776
