#_______________________________________________________________________________
#    ######   ####     ##             #####   #####     ##    #    #    ##
#    #       #        #  #            #    #  #    #   #  #   ##  ##   #  #
#    #####    ####   ######           #    #  #####   ######  # ## #  ######
#    #            #  #    #           #    #  #    #  #    #  #    #  #    #
#____######__#####___#____#___________#####___#____#__#____#__#____#__#____#____
#
#              ESA Debris Risk Assessment and Mitigation Analysis
#
#                      ---- DRAMA ( SESAM 2.3.0 ) ----
#                                      ESA 2018 
#
#                              trajectory history file
#-------------------------------------------------------------------------------
# Filename      : PySara.EPS.c6f93ddd-13e8-4599-b4e2-9b50c6ce708d_Trajectory.txt
# RunID         : PySara
# ObjectID      : c6f93ddd-13e8-4599-b4e2-9b50c6ce708d
# ObjectName    : EPS
# Content       : This file contains the trajectory state data of the object,
#                 computed by the DRAMA 3 Re-entry Analysis.
# Documentation : DRAMA Software User Manual, section OPERATIONS MANUAL / Normal operation / SARA / SARA Simulation Output / Re-entry simulation output
#
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#  Time [s]  Altitude [km]  Lat [deg]  Lon [deg]  Velocity [km/s]   Downrange [km]       Drag       Lift       Side    Knudsen       Mach  Flight Path [deg]  Heading [deg]  Density [kg/m^2]  DynPressure [Pa]   Load Factor [g]
#--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  1408.300          86.612    -48.609    -69.118            7.062        10938.756      0.788      0.000      0.000    0.10237   25.77275           -1.12399      195.04150         6.220e-06         1.552e+02         2.020e+00 
  1409.300          86.473    -48.669    -69.143            7.042        10945.719      0.782      0.000      0.000    0.09987   25.70108           -1.14044      195.05352         6.376e-06         1.582e+02         2.043e+00 
  1410.300          86.332    -48.729    -69.167            7.022        10952.661      0.776      0.000      0.000    0.09740   25.62857           -1.15728      195.06553         6.538e-06         1.613e+02         2.067e+00 
  1411.300          86.189    -48.790    -69.192            7.002        10959.584      0.770      0.000      0.000    0.09497   25.55521           -1.17453      195.07754         6.706e-06         1.645e+02         2.092e+00 
  1412.300          86.045    -48.849    -69.216            6.982        10966.487      0.764      0.000      0.000    0.09256   25.48097           -1.19218      195.08953         6.881e-06         1.678e+02         2.117e+00 
  1413.300          85.899    -48.909    -69.241            6.961        10973.370      0.758      0.000      0.000    0.09027   25.39465           -1.21026      195.10152         7.055e-06         1.711e+02         2.141e+00 
  1414.300          85.751    -48.969    -69.265            6.940        10980.232      0.752      0.000      0.000    0.08807   25.29894           -1.22875      195.11350         7.232e-06         1.743e+02         2.165e+00 
  1415.300          85.601    -49.028    -69.289            6.919        10987.073      0.746      0.000      0.000    0.08590   25.20231           -1.24768      195.12547         7.414e-06         1.776e+02         2.190e+00 
  1416.300          85.449    -49.087    -69.314            6.897        10993.894      0.741      0.000      0.000    0.08376   25.10474           -1.26704      195.13743         7.604e-06         1.810e+02         2.215e+00 
  1417.300          85.296    -49.146    -69.338            6.876        11000.693      0.735      0.000      0.000    0.08165   25.00620           -1.28684      195.14938         7.800e-06         1.845e+02         2.240e+00 
  1418.300          85.141    -49.205    -69.362            6.854        11007.471      0.729      0.000      0.000    0.07958   24.90667           -1.30708      195.16132         8.004e-06         1.881e+02         2.267e+00 
  1419.300          84.983    -49.263    -69.386            6.832        11014.226      0.724      0.000      0.000    0.07753   24.80613           -1.32779      195.17324         8.215e-06         1.919e+02         2.293e+00 
  1420.300          84.824    -49.322    -69.411            6.809        11020.960      0.718      0.000      0.000    0.07552   24.70457           -1.34895      195.18514         8.435e-06         1.957e+02         2.321e+00 
  1421.300          84.663    -49.380    -69.435            6.787        11027.672      0.712      0.000      0.000    0.07353   24.60196           -1.37059      195.19703         8.663e-06         1.997e+02         2.349e+00 
  1422.300          84.499    -49.438    -69.459            6.764        11034.361      0.707      0.000      0.000    0.07158   24.49827           -1.39270      195.20890         8.899e-06         2.037e+02         2.378e+00 
  1423.300          84.334    -49.496    -69.483            6.740        11041.028      0.701      0.000      0.000    0.06966   24.39349           -1.41530      195.22076         9.145e-06         2.079e+02         2.408e+00 
  1424.300          84.166    -49.553    -69.507            6.717        11047.671      0.695      0.000      0.000    0.06777   24.28759           -1.43839      195.23259         9.400e-06         2.122e+02         2.438e+00 
  1425.300          83.997    -49.611    -69.531            6.693        11054.291      0.690      0.000      0.000    0.06591   24.18054           -1.46198      195.24441         9.665e-06         2.167e+02         2.470e+00 
  1426.300          83.825    -49.668    -69.555            6.669        11060.887      0.684      0.000      0.000    0.06408   24.07233           -1.48607      195.25620         9.941e-06         2.213e+02         2.502e+00 
  1427.300          83.651    -49.725    -69.579            6.644        11067.460      0.679      0.000      0.000    0.06228   23.96291           -1.51069      195.26797         1.023e-05         2.260e+02         2.535e+00 
  1428.300          83.474    -49.782    -69.603            6.619        11074.008      0.674      0.000      0.000    0.06051   23.85226           -1.53584      195.27971         1.053e-05         2.308e+02         2.569e+00 
  1429.300          83.296    -49.838    -69.627            6.594        11080.531      0.668      0.000      0.000    0.05878   23.74035           -1.56152      195.29143         1.084e-05         2.359e+02         2.604e+00 
  1430.300          83.115    -49.895    -69.651            6.569        11087.030      0.663      0.000      0.000    0.05708   23.62716           -1.58775      195.30312         1.116e-05         2.410e+02         2.640e+00 
  1431.300          82.932    -49.951    -69.675            6.543        11093.503      0.658      0.000      0.000    0.05541   23.51264           -1.61453      195.31478         1.150e-05         2.464e+02         2.677e+00 
  1432.300          82.746    -50.007    -69.698            6.517        11099.950      0.653      0.000      0.000    0.05377   23.39677           -1.64188      195.32641         1.185e-05         2.519e+02         2.715e+00 
  1433.300          82.558    -50.062    -69.722            6.490        11106.372      0.647      0.000      0.000    0.05216   23.27951           -1.66981      195.33801         1.221e-05         2.575e+02         2.754e+00 
  1434.300          82.368    -50.118    -69.746            6.463        11112.767      0.642      0.000      0.000    0.05058   23.16082           -1.69833      195.34958         1.260e-05         2.634e+02         2.795e+00 
  1435.300          82.175    -50.173    -69.769            6.436        11119.135      0.638      0.000      0.000    0.04903   23.04066           -1.72745      195.36111         1.299e-05         2.694e+02         2.837e+00 
  1436.300          81.980    -50.228    -69.793            6.408        11125.476      0.633      0.000      0.000    0.04752   22.91900           -1.75718      195.37261         1.341e-05         2.756e+02         2.880e+00 
  1437.300          81.782    -50.282    -69.816            6.380        11131.789      0.628      0.000      0.000    0.04603   22.79579           -1.78754      195.38407         1.384e-05         2.820e+02         2.925e+00 
  1438.300          81.582    -50.337    -69.840            6.351        11138.075      0.623      0.000      0.000    0.04458   22.67099           -1.81853      195.39548         1.429e-05         2.886e+02         2.971e+00 
  1439.300          81.379    -50.391    -69.863            6.322        11144.332      0.619      0.000      0.000    0.04315   22.54455           -1.85018      195.40686         1.476e-05         2.954e+02         3.019e+00 
  1440.300          81.174    -50.445    -69.886            6.292        11150.560      0.614      0.000      0.000    0.04176   22.41642           -1.88249      195.41819         1.526e-05         3.024e+02         3.068e+00 
  1441.300          80.966    -50.499    -69.910            6.262        11156.758      0.610      0.000      0.000    0.04040   22.28656           -1.91549      195.42948         1.577e-05         3.096e+02         3.119e+00 
  1442.300          80.755    -50.552    -69.933            6.232        11162.927      0.606      0.000      0.000    0.03907   22.15492           -1.94918      195.44072         1.631e-05         3.170e+02         3.172e+00 
  1443.300          80.542    -50.605    -69.956            6.201        11169.065      0.602      0.000      0.000    0.03777   22.02144           -1.98359      195.45191         1.687e-05         3.247e+02         3.226e+00 
  1444.300          80.326    -50.658    -69.979            6.169        11175.172      0.598      0.000      0.000    0.03650   21.88606           -2.01872      195.46305         1.746e-05         3.326e+02         3.283e+00 
  1445.300          80.107    -50.711    -70.002            6.137        11181.247      0.594      0.000      0.000    0.03526   21.74873           -2.05460      195.47414         1.807e-05         3.407e+02         3.341e+00 
